SCUOLA_ANONIMO;CLASSE_ANONIMO;STUDENTE_ANONIMO;TIPO_SCUOLA;Grado;genere;mese;anno;luogo;regolarità;origine;luogo_padre;luogo_madre;voto_scritto_ita;voto_orale_ita;voto_scritto_mat;voto_orale_mat;codice_orario;Cod_Reg;Areageo_5;WLE_MAT_200;LIVELLI_WLE_MAT;peso_studente;peso_classe;peso_scuola;ESCS_studente
734;474;8835;2;10;2;7;4;1;1;1;1;1;0;7;0;7;2;11;3;228,7113319;4;12,48387097;1,032258065;12,09375;0,82739457
734;474;12248;2;10;2;2;4;1;1;1;1;1;0;7;0;6;2;11;3;227,1132701;4;12,48387097;1,032258065;12,09375;1,136077286
734;474;12249;2;10;1;8;4;1;1;1;4;1;0;7;0;6;2;11;3;209,8252166;3;12,48387097;1,032258065;12,09375;0,341693961
734;474;12454;2;10;2;11;4;1;1;1;1;1;0;8;0;9;2;11;3;227,9848115;4;12,48387097;1,032258065;12,09375;0,96599447
734;474;13262;2;10;2;4;4;1;1;1;1;1;0;7;0;6;2;11;3;209,559515;3;12,48387097;1,032258065;12,09375;1,760377794
734;474;14493;2;10;2;7;4;1;1;1;1;1;0;8;0;9;2;11;3;264,5453525;5;12,48387097;1,032258065;12,09375;0,63484337
734;474;16939;2;10;1;2;3;1;3;1;1;1;0;6;0;6;2;11;3;148,688459;1;12,48387097;1,032258065;12,09375; 
734;475;2839;2;10;2;10;4;1;1;1;1;1;0;9;0;9;2;11;3;228,184506;4;12,48387097;1,032258065;12,09375;0,321803761
734;475;3486;2;10;2;3;4;1;1;1;1;1;0;9;0;7;2;11;3;223,5418438;4;12,48387097;1,032258065;12,09375;-0,459149797
734;475;7452;2;10;2;2;4;1;1;1;1;1;0;8;0;8;2;11;3;218,6094971;4;12,48387097;1,032258065;12,09375;1,79692918
734;475;7453;2;10;2;7;4;1;1;1;1;1;0;6;0;5;2;11;3;208,5877902;3;12,48387097;1,032258065;12,09375;0,861634264
734;475;8338;2;10;1;1;5;1;1;1;1;1;0;8;0;9;2;11;3;254,4417682;5;12,48387097;1,032258065;12,09375;0,49603532
734;475;8831;2;10;2;5;4;1;1;1;1;1;0;8;0;6;2;11;3;213,6724189;4;12,48387097;1,032258065;12,09375;1,644899514
734;475;8834;2;10;2;11;4;1;1;1;1;1;0;8;0;8;2;11;3;247,881821;5;12,48387097;1,032258065;12,09375;1,257098678
734;475;8836;2;10;1;10;4;1;1;1;1;3;0;7;0;6;2;11;3;206,7740446;3;12,48387097;1,032258065;12,09375;0,704981214
734;475;12706;2;10;2;1;4;1;1;3;4;4;0;7;0;5;2;11;3;153,2886579;1;12,48387097;1,032258065;12,09375;-0,611445955
734;475;13343;2;10;1;4;4;1;1;1;1;1;0;6;0;5;2;11;3;214,7517103;4;12,48387097;1,032258065;12,09375;1,64027613
734;475;13449;2;10;1;1;4;1;1;1;1;4;0;6;0;4;2;11;3;173,0297274;2;12,48387097;1,032258065;12,09375;0,49603532
734;475;15641;2;10;2;1;4;1;1;1;1;1;0;9;0;9;2;11;3;275,3521404;5;12,48387097;1,032258065;12,09375;1,257098678
734;475;15734;2;10;1;11;4;1;1;1;1;1;0;7;0;6;2;11;3;230,6203006;4;12,48387097;1,032258065;12,09375;1,254786986
734;475;15812;2;10;2;4;4;1;1;1;1;1;0;6;0;7;2;11;3;198,7711527;3;12,48387097;1,032258065;12,09375;1,43595362
734;475;15813;2;10;1;11;4;1;1;1;1;1;0;9;0;9;2;11;3;234,97996;4;12,48387097;1,032258065;12,09375; 
735;476;439;1;10;1;8;4;1;1;1;1;1;0;6;0;5;2;11;3;223,5097484;4;18,47428571;3,914285714;4,719708029;1,746948028
735;476;1303;1;10;1;3;4;1;1;1;1;1;0;7;0;8;2;11;3;293,4654265;5;18,47428571;3,914285714;4,719708029;0,35743542
735;476;2459;1;10;2;4;4;1;1;1;1;1;0;8;0;9;2;11;3;292,1851618;5;18,47428571;3,914285714;4,719708029;0,323848961
735;476;3740;1;10;1;10;4;1;1;1;1;1;0;6;0;8;2;11;3;265,707385;5;18,47428571;3,914285714;4,719708029;1,098133936
735;476;4585;1;10;1;5;4;1;1;3;2;2;0;7;0;6;2;11;3;229,2234856;4;18,47428571;3,914285714;4,719708029;-0,611445955
735;476;5280;1;10;2;3;4;1;1;1;1;1;0;7;0;8;2;11;3;293,4654265;5;18,47428571;3,914285714;4,719708029;1,64027613
735;476;5550;1;10;1;1;4;1;1;1;1;2;0;6;0;5;2;11;3;247,6553764;5;18,47428571;3,914285714;4,719708029;0,632531678
735;476;5551;1;10;1;1;4;1;1;1;1;2;0;6;0;6;2;11;3;210,7012443;3;18,47428571;3,914285714;4,719708029;-0,559505222
735;476;6122;1;10;1;11;4;1;1;1;1;1;0;6;0;8;2;11;3;292,7634903;5;18,47428571;3,914285714;4,719708029;0,65268837
735;476;7044;1;10;1;7;4;1;1;1;1;1;0;6;0;6;2;11;3;263,8199323;5;18,47428571;3,914285714;4,719708029;1,603724744
735;476;7045;1;10;1;5;4;1;1;1;1;1;0;8;0;7;2;11;3;263,05831;5;18,47428571;3,914285714;4,719708029;1,760377794
