SCUOLA_ANONIMO;CLASSE_ANONIMO;STUDENTE_ANONIMO;TIPO_SCUOLA;grado;genere;mese;anno;luogo;regolarità;origine;luogo_padre;luogo_madre;voto_scritto_ita;voto_orale_ita;voto_scritto_mat;voto_orale_mat;codice_orario;Cod_Reg;Areageo_5;WLE_ITA_200;LIVELLI_WLE_ITA;peso_studente;peso_classe;peso_scuola;ESCS_studente
733;473;14074;4;10;2;9;4;1;1;1;1;1;6;6;6;6;3;11;3;188,513320821325;3;21,8916666666667;5,53333333333333;3,95632530120482;-1,96475928838883
733;473;14488;4;10;1;12;4;1;1;1;1;4;0;7;0;7;3;11;3;170,642151554452;2;21,8916666666667;5,53333333333333;3,95632530120482;,493723627515811
733;473;14492;4;10;2;10;4;1;1;1;1;1;0;8;0;8;3;11;3;156,834676478826;2;21,8916666666667;5,53333333333333;3,95632530120482;-1,0301241386041
733;473;16931;4;10;1;11;3;1;3;1;1;2;0;7;0;7;3;11;3;168,226947679586;2;21,8916666666667;5,53333333333333;3,95632530120482;,493723627515811
733;473;16940;4;10;1;11;3;1;3;3;4;4;0;7;0;6;3;11;3;111,556473610422;1;21,8916666666667;5,53333333333333;3,95632530120482; 
733;473;16960;4;10;1;12;2;4;3;9;9;4;0;7;0;7;3;11;3;117,574520328566;1;21,8916666666667;5,53333333333333;3,95632530120482;-,887504697237505
733;473;18043;4;10;2;3;3;4;3;9;9;9;0;66;0;66;3;11;3;193,208078380375;3;21,8916666666667;5,53333333333333;3,95632530120482;-1,0301241386041
734;474;1619;1;10;1;7;4;1;1;1;1;1;0;8;0;6;2;11;3;233,516463558318;4;12,4838709677419;1,03225806451613;12,09375;,828743777642691
734;474;3056;1;10;2;1;4;1;1;1;1;1;0;7;0;9;2;11;3;237,342915965248;4;12,4838709677419;1,03225806451613;12,09375;-,576510289082602
734;474;5200;1;10;2;1;5;1;1;1;1;1;0;7;0;8;2;11;3;252,249743874934;5;12,4838709677419;1,03225806451613;12,09375;1,10249082777728
734;474;5802;1;10;1;5;4;1;1;1;1;1;0;6;0;8;2;11;3;231,92280358641;4;12,4838709677419;1,03225806451613;12,09375;-,887504697237505
734;474;5803;1;10;1;11;4;1;1;1;1;1;0;8;0;9;2;11;3;261,155991558582;5;12,4838709677419;1,03225806451613;12,09375;,482813703478766
734;474;7310;1;10;1;5;4;1;1;1;1;1;0;9;0;10;2;11;3;266,572994927002;5;12,4838709677419;1,03225806451613;12,09375;,162839019305702
734;474;8337;1;10;2;2;4;1;1;1;1;1;0;6;0;5;2;11;3;231,126756089319;4;12,4838709677419;1,03225806451613;12,09375;1,57476167003786
