SCUOLA_ANONIMO,CLASSE_ANONIMO,STUDENTE_ANONIMO,Grado,genere,anno,mese,luogo,eta,regolarità,origine,freq_asilo_nido,freq_scuola_materna,luogo_padre,titolo_padre,prof_padre,luogo_madre,titolo_madre,prof_madre,voto_scritto_ita,voto_orale_ita,voto_scritto_mat,voto_orale_mat,voto_scritto_eng,voto_orale_eng,codice_orario,Cod_Reg,Areageo_5,WLE_ITA_200,LIVELLI_WLE_ITA,peso_studente,peso_classe,peso_scuola,ESCS_classe,ESCS_studente
80,16,3657,8,2,3,6,1,88,1,1,1,1,1,3,8,1,2,6,0,7,0,5,0,6,1,1,1,185.149106505654,2,11.2058823529412,2.41176470588235,4.64634146341464,.262899480422886,-.730982607907387
80,16,3658,8,1,3,5,1,88,1,1,1,1,1,4,8,1,4,6,0,6,0,5,0,6,1,1,1,194.977645031822,3,11.2058823529412,2.41176470588235,4.64634146341464,.262899480422886, 
80,16,3659,8,1,3,8,1,88,1,1,1,1,9,99,99,1,9,5,0,6,0,7,0,6,1,1,1,190.593814797016,3,11.2058823529412,2.41176470588235,4.64634146341464,.262899480422886, 
80,16,3660,8,1,3,3,1,88,1,1,1,1,1,2,6,1,6,6,0,7,0,7,0,6,1,1,1,233.350991851138,4,11.2058823529412,2.41176470588235,4.64634146341464,.262899480422886,.339663761308474
80,16,3875,8,2,3,7,1,88,1,1,2,2,1,4,4,1,4,5,0,6,0,6,0,7,1,1,1,220.161212943506,4,11.2058823529412,2.41176470588235,4.64634146341464,.262899480422886,.469573378093093
81,17,84,8,1,2,10,1,88,3,3,2,1,3,2,6,3,99,99,0,5,0,6,0,5,1,1,1,168.556417885604,2,9.525,2.2,4.32954545454546,.144497152388127, 
81,17,3607,8,2,3,9,1,88,1,1,2,1,1,4,8,1,4,7,0,9,0,8,0,8,1,1,1,233.838858808275,4,9.525,2.2,4.32954545454546,.144497152388127,-.605180921787631
81,17,3608,8,2,3,9,1,88,1,1,2,1,1,9,7,1,9,5,0,9,0,8,0,9,1,1,1,234.609075508831,4,9.525,2.2,4.32954545454546,.144497152388127,.804731436948272
81,17,3609,8,2,3,3,1,88,1,1,2,1,1,2,6,1,7,1,0,10,0,10,0,10,1,1,1,256.252069473569,5,9.525,2.2,4.32954545454546,.144497152388127,1.2117166458301
81,17,3611,8,1,3,4,1,88,1,1,2,1,1,2,8,4,9,5,0,7,0,7,0,9,1,1,1,248.112494556655,5,9.525,2.2,4.32954545454546,.144497152388127,-.428334120552849
81,17,3617,8,1,3,7,1,88,1,1,2,2,1,2,8,4,2,8,0,8,0,5,0,7,1,1,1,189.542719515864,3,9.525,2.2,4.32954545454546,.144497152388127,.896768418131394
81,17,3618,8,1,3,6,1,88,1,1,2,2,1,6,9,1,4,5,0,9,0,7,0,8,1,1,1,195.039872279547,3,9.525,2.2,4.32954545454546,.144497152388127,.680442238854418
81,17,3619,8,1,3,1,1,88,1,1,2,1,1,4,5,1,9,6,0,6,0,7,0,8,1,1,1,206.49960639662,3,9.525,2.2,4.32954545454546,.144497152388127,.41788851412153
81,17,3622,8,1,3,7,1,88,1,1,2,1,1,2,99,1,2,99,0,9,0,9,0,9,1,1,1,240.551706237635,4,9.525,2.2,4.32954545454546,.144497152388127,-.730982607907387
81,17,3623,8,2,3,10,1,88,1,1,2,1,1,8,7,1,9,5,0,9,0,7,0,8,1,1,1,281.297749278074,5,9.525,2.2,4.32954545454546,.144497152388127,.84437391516558
81,17,3625,8,2,3,3,1,88,1,1,2,1,1,2,8,1,7,5,0,8,0,7,0,8,1,1,1,222.606703967896,4,9.525,2.2,4.32954545454546,.144497152388127, 
81,17,3626,8,1,3,1,1,88,1,1,1,1,1,2,8,1,4,2,0,6,0,5,0,4,1,1,1,105.569386777027,1,9.525,2.2,4.32954545454546,.144497152388127,-.0699521846301169
81,17,3628,8,2,3,5,1,88,1,1,2,1,1,9,5,1,9,5,0,8,0,8,0,8,1,1,1,203.852389044953,3,9.525,2.2,4.32954545454546,.144497152388127, 
81,17,3630,8,2,3,5,1,88,1,1,2,1,1,3,6,1,4,2,0,8,0,8,0,8,1,1,1,222.606703967896,4,9.525,2.2,4.32954545454546,.144497152388127,1.67298521176106
81,17,3631,8,2,3,12,1,88,1,1,2,1,1,2,6,9,99,99,0,8,0,7,0,8,1,1,1,171.121608349969,2,9.525,2.2,4.32954545454546,.144497152388127,-.730982607907387
81,17,3662,8,1,2,4,1,88,3,1,2,1,1,2,8,1,4,7,0,6,0,6,0,5,1,1,1,159.378847967569,2,9.525,2.2,4.32954545454546,.144497152388127, 
81,17,3666,8,1,3,1,1,88,1,1,2,1,1,99,99,1,2,6,0,7,0,6,0,7,1,1,1,197.696847883919,3,9.525,2.2,4.32954545454546,.144497152388127,-.92292980994962
81,17,3668,8,1,3,5,1,88,1,1,2,1,1,7,99,2,6,5,0,7,0,7,0,5,1,1,1,159.378847967569,2,9.525,2.2,4.32954545454546,.144497152388127, 
81,17,3669,8,1,3,4,1,88,1,1,2,1,1,4,7,3,2,7,0,6,0,5,0,5,1,1,1,167.957790341578,2,9.525,2.2,4.32954545454546,.144497152388127,-.488186429926633
81,17,3670,8,1,3,7,1,88,1,1,2,1,1,4,7,1,7,7,0,8,0,6,0,6,1,1,1,181.650828368601,2,9.525,2.2,4.32954545454546,.144497152388127,-.384900412328819
81,17,3877,8,2,3,9,4,10,1,2,1,2,4,1,8,4,2,2,0,7,0,6,0,6,1,1,1,108.009965898631,1,9.525,2.2,4.32954545454546,.144497152388127, 
81,18,3605,8,2,3,6,1,88,1,1,2,1,1,2,6,1,3,6,0,6,0,7,0,5,1,1,1,203.852389044953,3,9.525,2.2,4.32954545454546,-.0499637046481532, 
81,18,3606,8,2,3,11,1,88,1,1,2,1,1,4,8,1,7,5,0,6,0,7,0,5,1,1,1,181.849967908796,2,9.525,2.2,4.32954545454546,-.0499637046481532, 
81,18,3610,8,1,3,7,1,88,1,3,2,2,4,2,8,4,2,8,0,6,0,6,0,6,1,1,1,199.499180495072,3,9.525,2.2,4.32954545454546,-.0499637046481532,-.920129149486334
81,18,3612,8,2,3,12,1,88,1,1,2,1,1,9,7,1,9,3,0,8,0,8,0,9,1,1,1,230.051515206365,4,9.525,2.2,4.32954545454546,-.0499637046481532,1.69996342384489
81,18,3613,8,2,3,11,1,88,1,1,2,1,1,4,4,1,4,5,0,8,0,8,0,9,1,1,1,239.166756736844,4,9.525,2.2,4.32954545454546,-.0499637046481532,.528810302887421
